Name,Price,Image URL,Number of Colors,Product Link,category
CHEMISE,48.93 TND  69.90 TND,https://images.zen.com.tn/uploads/8_U2_A9189_2c65b95095.jpg,1 Couleurs,/fr/produit/4343-chemise,homme
CHEMISE,69.90 TND,https://images.zen.com.tn/uploads/8_U2_A9784_840f43b2de.JPG,1 Couleurs,/fr/produit/4398-chemise,homme
CHEMISE,62.93 TND,https://images.zen.com.tn/uploads/8_U2_A8941_1f0128793b.jpg,3 Couleurs,/fr/produit/4445-chemise,homme
PANTALON,46.13 TND  65.90 TND,https://images.zen.com.tn/uploads/8_U2_A9923_489205280e_1_c506c777f4.jfif,2 Couleurs,/fr/produit/4434-pantalon,homme
POLO,55.93 TND  79.90 TND,https://images.zen.com.tn/uploads/8_U2_A9236_73b10401ca.jpg,5 Couleurs,/fr/produit/4368-polo,homme
SWEAT SHIRT,69.90 TND,https://images.zen.com.tn/uploads/8_U2_A6895_62cfd03a9e.jpg,3 Couleurs,/fr/produit/4265-sweat-shirt,homme
T SHIRT,45.90 TND,https://images.zen.com.tn/uploads/8_U2_A8003_19ee4743ce.jpg,1 Couleurs,/fr/produit/4421-t-shirt,homme
SWEAT SHIRT,48.93 TND  69.90 TND,https://images.zen.com.tn/uploads/8_U2_A6733_e51814d5b8.jpg,1 Couleurs,/fr/produit/4236-sweat-shirt,homme
T SHIRT,39.90 TND,https://images.zen.com.tn/uploads/8_U2_A8592_0bd24b5a96.jpg,1 Couleurs,/fr/produit/4431-t-shirt,homme
PARFUM,45.90 TND,https://images.zen.com.tn/medias/folder_22_12_2023/8_U2_A0113d_4975b72760.webp,2 Couleurs,/fr/produit/1959-parfum,homme
VESTE,69.93 TND  99.90 TND,https://images.zen.com.tn/medias/folder_09_05_2024/8_U2_A3872_871705cccf.webp,3 Couleurs,/fr/produit/2680-veste,homme
SWEAT SHIRT,41.93 TND,https://images.zen.com.tn/uploads/8_U2_A9054_ba851375cc.JPG,2 Couleurs,/fr/produit/4279-sweat-shirt,homme
JOGGER,48.93 TND  69.90 TND,https://images.zen.com.tn/uploads/8_U2_A9563_caa0476657.JPG,1 Couleurs,/fr/produit/4203-jogger,homme
SWEAT SHIRT,55.93 TND  79.90 TND,https://images.zen.com.tn/uploads/8_U2_A6762_f619108ad8.jpg,3 Couleurs,/fr/produit/4105-sweat-shirt,homme
PULL OVER COL ROULE,55.93 TND,https://images.zen.com.tn/medias/folder_27_09_2024/8_U2_A0213_291b34c2df.webp,5 Couleurs,/fr/produit/3741-pull-over-col-roule,homme
SWEAT SHIRT,55.93 TND  79.90 TND,https://images.zen.com.tn/uploads/8_U2_A6836_c1f4b57496.jpg,2 Couleurs,/fr/produit/4132-sweat-shirt,homme
SWEAT SHIRT,55.93 TND  79.90 TND,https://images.zen.com.tn/uploads/8_U2_A6691_80f1566759.jpg,3 Couleurs,/fr/produit/4194-sweat-shirt,homme
SUR CHEMISE,76.93 TND,https://images.zen.com.tn/uploads/8_U2_A9421_cc721a04cf.jpg,2 Couleurs,/fr/produit/4288-sur-chemise,homme
EAU DE PARFUM,79.90 TND,https://images.zen.com.tn/uploads/8_U2_A8791_55f0510350.JPG,2 Couleurs,/fr/produit/4232-eau-de-parfum,homme
PARFUM,45.90 TND,https://images.zen.com.tn/uploads/8_U2_A8841_f15d9f3f23.JPG,2 Couleurs,/fr/produit/4315-parfum,homme
SWEAT SHIRT,48.93 TND,https://images.zen.com.tn/uploads/8_U2_A0231_453a875aba.jpg,1 Couleurs,/fr/produit/4278-sweat-shirt,homme
PANTALON DE JOGGING,41.93 TND  59.90 TND,https://images.zen.com.tn/uploads/BLEU_MARINE_3_e822c5b637.JPG,1 Couleurs,/fr/produit/4280-pantalon-de-jogging,homme
CARDIGAN,55.93 TND  79.90 TND,https://images.zen.com.tn/uploads/8_U2_A8893_f9ee2db112.JPG,2 Couleurs,/fr/produit/4299-cardigan,homme
PULL DE PYJAMA,25.13 TND,https://images.zen.com.tn/uploads/8_U2_A6651_ec807478d6.jpg,2 Couleurs,/fr/produit/4262-pull-de-pyjama,homme
PANTALON DE PYJAMA,34.93 TND  49.90 TND,https://images.zen.com.tn/uploads/8_U2_A5695_d0343d9ac6.JPG,2 Couleurs,/fr/produit/4263-pantalon-de-pyjama,homme
PULL OVER,55.93 TND  79.90 TND,https://images.zen.com.tn/uploads/8_U2_A7469_67b81bb77a.jpg,3 Couleurs,/fr/produit/4271-pull-over,homme
SWEAT SHIRT,55.93 TND,https://images.zen.com.tn/uploads/8_U2_A6866_2fb42d9130.jpg,2 Couleurs,/fr/produit/4253-sweat-shirt,homme
JOGGER,41.93 TND  59.90 TND,https://images.zen.com.tn/uploads/8_U2_A7420_725dc08259.jpg,3 Couleurs,/fr/produit/4225-jogger,homme
JOGGER,55.93 TND  79.90 TND,https://images.zen.com.tn/uploads/8_U2_A8127_bf90f29ad1.JPG,3 Couleurs,/fr/produit/4155-jogger,homme
CARDIGAN,55.93 TND,https://images.zen.com.tn/uploads/8_U2_A8210_926f941b8c.jpg,4 Couleurs,/fr/produit/4206-cardigan,homme
SWEAT,55.93 TND  79.90 TND,https://images.zen.com.tn/uploads/8_U2_A6914_ef4cc54eed.jpg,3 Couleurs,/fr/produit/4091-sweat,homme
JEAN,62.93 TND  89.90 TND,https://images.zen.com.tn/uploads/8_U2_A8173_43ead16eaa.JPG,2 Couleurs,/fr/produit/4184-jean,homme
JEAN SLIM FIT,62.93 TND,https://images.zen.com.tn/uploads/8_U2_A8179_98cecf81a3.JPG,1 Couleurs,/fr/produit/4170-jean-slim-fit,homme
JOGGER,48.93 TND  69.90 TND,https://images.zen.com.tn/uploads/8_U2_A7109_00ecfebaa9.jpg,1 Couleurs,/fr/produit/4156-jogger,homme
JEAN,55.93 TND  79.90 TND,https://images.zen.com.tn/medias/folder_26_02_2024/8_U2_A3482_a7ba6a10ab.webp,2 Couleurs,/fr/produit/2300-jean,homme
SWEAT SHIRT,48.93 TND,https://images.zen.com.tn/uploads/8_U2_A7139_8270794f1e.jpg,1 Couleurs,/fr/produit/4138-sweat-shirt,homme
SWEAT,48.93 TND  69.90 TND,https://images.zen.com.tn/uploads/8_U2_A6998_a6aa708d4b.jpg,1 Couleurs,/fr/produit/4140-sweat,homme
JEAN,55.93 TND  79.90 TND,https://images.zen.com.tn/uploads/8_U2_A3292_11422faec5.JPG,2 Couleurs,/fr/produit/4129-jean,homme
JEAN,79.90 TND,https://images.zen.com.tn/uploads/8_U2_A3306_3189f0223d.JPG,2 Couleurs,/fr/produit/4130-jean,homme
SWEAT SHIRT,55.93 TND  79.90 TND,https://images.zen.com.tn/uploads/8_U2_A7169_0c13918a62.jpg,3 Couleurs,/fr/produit/4093-sweat-shirt,homme
VESTE,69.93 TND  99.90 TND,https://images.zen.com.tn/medias/folder_21_10_2024/8_U2_A7890_dad08e464a.webp,1 Couleurs,/fr/produit/2687-veste,homme
BASKET,119.90 TND,https://images.zen.com.tn/medias/folder_23_03_2024/8_U2_A3270_b1f71d6275.webp,2 Couleurs,/fr/produit/2730-basket,homme
BASKET,119.90 TND,https://images.zen.com.tn/medias/folder_23_09_2024/8_U2_A1040_6ca3d36701.webp,2 Couleurs,/fr/produit/3785-basket,homme
BASKET,109.90 TND,https://images.zen.com.tn/medias/folder_02_10_2024/8_U2_A4268_694fc970d8.webp,2 Couleurs,/fr/produit/3840-basket,homme
BASKET,83.94 TND,https://images.zen.com.tn/medias/folder_23_09_2024/8_U2_A1623_39f2127868.webp,1 Couleurs,/fr/produit/3778-basket,homme
PANTALON,62.93 TND  89.90 TND,https://images.zen.com.tn/uploads/8_U2_A8355_d5a274a4cb.jpg,2 Couleurs,/fr/produit/3934-pantalon,homme
PULL OVER,48.93 TND  69.90 TND,https://images.zen.com.tn/medias/folder_27_09_2024/8_U2_A0483_8623bb9f21.webp,3 Couleurs,/fr/produit/3657-pull-over,homme
SWEAT SHIRT,41.93 TND,https://images.zen.com.tn/uploads/8_U2_A7200_ffd74fe769.jpg,3 Couleurs,/fr/produit/4075-sweat-shirt,homme
DOUDOUNE,125.93 TND  179.90 TND,https://images.zen.com.tn/uploads/8_U2_A8379_1f9fd745b9.jpg,2 Couleurs,/fr/produit/3925-doudoune,homme
VESTE DE COSTUME,174.93 TND  249.90 TND,https://images.zen.com.tn/uploads/8_U2_A8468_0d239fe9ec.jpg,1 Couleurs,/fr/produit/3955-veste-de-costume,homme
JOGGER,48.93 TND,https://images.zen.com.tn/uploads/8_U2_A0806_ddafef741c.JPG,3 Couleurs,/fr/produit/3970-jogger,homme
JOGGER,48.93 TND  69.90 TND,https://images.zen.com.tn/medias/folder_14_11_2024/8_U2_A0797_581566ce12.webp,3 Couleurs,/fr/produit/4082-jogger,homme
PANTALON JOGGER,41.93 TND  59.90 TND,https://images.zen.com.tn/medias/images/8U2A2864.webp,1 Couleurs,/fr/produit/3798-pantalon-jogger,homme
SWEAT,62.93 TND,https://images.zen.com.tn/uploads/8_U2_A8230_78b1b93dfe.jpg,1 Couleurs,/fr/produit/4009-sweat,homme
MOCASSIN,159.90 TND,https://images.zen.com.tn/medias/folder_23_10_2024/8_U2_A2447_15d67e1199.webp,1 Couleurs,/fr/produit/3959-mocassin,homme
DERBIES,159.90 TND,https://images.zen.com.tn/medias/folder_23_10_2024/8_U2_A2472_8808201c0f.webp,1 Couleurs,/fr/produit/3960-derbies,homme
PULL OVER,48.93 TND,https://images.zen.com.tn/medias/fx_folder_31_08_2024/8_U2_A6089_d3a7f0a367.webp,2 Couleurs,/fr/produit/3438-pull-over,homme
GILET,76.93 TND  109.90 TND,https://images.zen.com.tn/uploads/8_U2_A7813_7cc01ef7fa.jpg,1 Couleurs,/fr/produit/3981-gilet,homme
JOGGER,48.93 TND  69.90 TND,https://images.zen.com.tn/uploads/8_U2_A7785_667ca9d298.jpg,2 Couleurs,/fr/produit/3987-jogger,homme
PANTALON,62.93 TND,https://images.zen.com.tn/uploads/8_U2_A8541_8487dffdfa.jpg,1 Couleurs,/fr/produit/3947-pantalon,homme
PULL OVER,48.93 TND  69.90 TND,https://images.zen.com.tn/medias/folder_01_10_2024/8_U2_A0471_0330a7cfc6.webp,3 Couleurs,/fr/produit/3658-pull-over,homme
PULL OVER,48.93 TND  69.90 TND,https://images.zen.com.tn/medias/folder_27_09_2024/8_U2_A0360_b2c3a9da01.webp,3 Couleurs,/fr/produit/3678-pull-over,homme
CARDIGAN,55.93 TND,https://images.zen.com.tn/uploads/8_U2_A8420_13141a9867.jpg,2 Couleurs,/fr/produit/3954-cardigan,homme
PULL OVER,55.93 TND  79.90 TND,https://images.zen.com.tn/medias/folder_27_09_2024/8_U2_A0269_2b3bf38e3f.webp,3 Couleurs,/fr/produit/3742-pull-over,homme
PULL OVER,55.93 TND  79.90 TND,https://images.zen.com.tn/medias/folder_27_09_2024/8_U2_A0244_632d9dd786.webp,2 Couleurs,/fr/produit/3743-pull-over,homme
JEAN BAGGY,79.90 TND,https://images.zen.com.tn/uploads/8_U2_A7832_db93aee445.jpg,2 Couleurs,/fr/produit/3951-jean-baggy,homme
SWEAT SHIRT,62.93 TND  89.90 TND,https://images.zen.com.tn/uploads/8_U2_A8144_1d422ef03c.jpg,2 Couleurs,/fr/produit/3944-sweat-shirt,homme
PULL OVER COL V,55.93 TND  79.90 TND,https://images.zen.com.tn/uploads/8_U2_A8410_b3ad90e72f.jpg,4 Couleurs,/fr/produit/3917-pull-over-col-v,homme
JOGGER,48.93 TND,https://images.zen.com.tn/uploads/8_U2_A8126_42373d48b0.jpg,2 Couleurs,/fr/produit/3851-jogger,homme
PULL,20.93 TND  29.90 TND,https://images.zen.com.tn/uploads/8_U2_A8154_bd417991ee.jpg,4 Couleurs,/fr/produit/3935-pull,homme
SWEAT SHIRT,48.93 TND  69.90 TND,https://images.zen.com.tn/medias/folder_23_07_2024/8_U2_A4245_3377e36ca1.webp,1 Couleurs,/fr/produit/2740-sweat-shirt,homme
SWEAT -SHIRT,48.93 TND,https://images.zen.com.tn/uploads/8_U2_A8553_a2db97dbb5.jpg,3 Couleurs,/fr/produit/3872-sweat--shirt,homme
