Name,Price,Image URL,Number of Colors,Product Link,category
LEGGING,25.13 TND,https://images.zen.com.tn/uploads/8_U2_A6215_220772aae8.JPG,1 Couleurs,/fr/produit/4350-legging,enfant
DEBARDEUR,27.93 TND,https://images.zen.com.tn/uploads/8_U2_A2472_176e2d3bf3.JPG,2 Couleurs,/fr/produit/4464-debardeur,enfant
BLOUSE,25.13 TND  35.90 TND,https://images.zen.com.tn/uploads/8_U2_A7862_b167fe0af1.JPG,1 Couleurs,/fr/produit/4406-blouse,enfant
CARDIGAN,32.13 TND  45.90 TND,https://images.zen.com.tn/uploads/8_U2_A9786_e0d25ca79a.JPG,2 Couleurs,/fr/produit/4560-cardigan,enfant
T-SHIRT ML,25.13 TND,https://images.zen.com.tn/uploads/8_U2_A9706_8c3f021381.JPG,4 Couleurs,/fr/produit/4694-t-shirt-ml,enfant
POLO,27.93 TND,https://images.zen.com.tn/uploads/8_U2_A3639_916bfee025.JPG,3 Couleurs,/fr/produit/4557-polo,enfant
BASKET,76.93 TND,https://images.zen.com.tn/medias/folder_23_09_2024/8_U2_A1504_6c4e7c2376.webp,1 Couleurs,/fr/produit/3783-basket,enfant
BASKET,69.93 TND  99.90 TND,https://images.zen.com.tn/medias/folder_23_09_2024/8_U2_A1018_cc0fd711cb.webp,2 Couleurs,/fr/produit/3795-basket,enfant
T SHIRT MANCHE,27.93 TND  39.90 TND,https://images.zen.com.tn/uploads/8_U2_A3468_29e92af8f0.JPG,1 Couleurs,/fr/produit/4533-t-shirt-manche,enfant
T-SHIRT MANCHES LONGUES,25.13 TND  35.90 TND,https://images.zen.com.tn/uploads/8_U2_A7828_9b2b3954a5.JPG,2 Couleurs,/fr/produit/4414-t-shirt-manches-longues,enfant
JEAN FLARE,41.93 TND,https://images.zen.com.tn/uploads/8_U2_A9391_cf5ee2ca9a.JPG,2 Couleurs,/fr/produit/4307-jean-flare,enfant
BOLERO,27.93 TND,https://images.zen.com.tn/uploads/8_U2_A9987_7672c6a8dd.JPG,4 Couleurs,/fr/produit/4439-bolero,enfant
SWEAT SHIRT,27.93 TND  39.90 TND,https://images.zen.com.tn/uploads/8_U2_A5961_394d218570.JPG,1 Couleurs,/fr/produit/4305-sweat-shirt,enfant
VESTE,46.13 TND,https://images.zen.com.tn/uploads/8_U2_A3475_71fd917fea.JPG,2 Couleurs,/fr/produit/4539-veste,enfant
PULL,27.93 TND  39.90 TND,https://images.zen.com.tn/uploads/8_U2_A2273_5edf9f7d7b.JPG,3 Couleurs,/fr/produit/4480-pull,enfant
